,Result,Home_Elo,Away_Elo
225,L,1557.88891602,1563.36315918
226,W,1678.62451172,1715.26599121
227,W,1558.08813477,1539.0958252
228,L,1570.56140137,1609.02075195
229,L,1593.38977051,1805.40258789
230,W,1860.390625,1612.36035156
231,D,1527.06884766,1596.22338867
232,D,1533.82250977,1570.11523438
233,W,1704.95422363,1577.20080566
234,W,1640.36279297,1584.55053711
235,W,1529.17614746,1545.453125
236,W,1702.6751709,1688.93640137
237,L,1626.49987793,1862.34326172
238,W,1809.79223633,1535.88903809
239,L,1569.86254883,1589.0
240,W,1538.74023438,1553.08227539
241,W,1577.30090332,1712.29248047
242,L,1610.40759277,1527.12841797
243,W,1570.99914551,1556.99597168
244,W,1544.0513916,1647.61242676
245,W,1682.77209473,1532.93847656
246,D,1596.16394043,1708.83947754
247,D,1555.27282715,1821.98498535
248,W,1548.12976074,1562.31970215
249,L,1552.5333252,1606.7824707
250,L,1535.20263672,1716.34118652
251,W,1647.20471191,1606.03845215
252,D,1541.07250977,1561.83520508
253,W,1628.15673828,1595.69445801
254,W,1718.01452637,1556.66540527
255,W,1613.91894531,1688.22753906
256,D,1904.25463867,1590.09838867
257,W,1543.97668457,1555.61669922
258,W,1560.9609375,1550.23168945
259,W,1719.24377441,1619.66674805
260,D,1546.75061035,1595.77770996
261,W,1552.44091797,1557.93286133
262,L,1583.91638184,1807.34875488
263,L,1612.94726562,1635.15124512
264,W,1596.19287109,1527.51647949
265,W,1723.10266113,1537.16333008
266,L,1652.26660156,1893.79187012
267,L,1675.00683594,1548.05932617
268,D,1546.66467285,1569.42687988
269,D,1644.6484375,1728.71337891
270,D,1545.21801758,1661.89916992
271,L,1561.16711426,1563.70922852
272,L,1541.76574707,1723.18676758
273,D,1531.5526123,1600.81091309
274,D,1615.72363281,1579.6138916
275,W,1901.90063477,1546.02905273
276,W,1811.65124512,1570.87353516
277,L,1522.89855957,1644.15783691
278,D,1596.49914551,1603.45007324
279,W,1647.83581543,1565.68518066
280,D,1720.65246582,1543.66662598
281,W,1807.82373047,1637.19677734
282,L,1537.22265625,1597.45043945
283,W,1574.79345703,1538.81359863
284,L,1605.01965332,1559.17651367
285,D,1593.04724121,1528.7755127
286,L,1503.69616699,1863.5657959
287,W,1731.27722168,1586.97424316
288,D,1652.77905273,1523.79174805
289,D,1613.33972168,1662.95593262
290,W,1536.29943848,1533.83129883
291,L,1535.93823242,1508.88745117
292,W,1565.1697998,1594.38061523
293,W,1641.7623291,1601.07995605
294,D,1577.72106934,1721.86755371
295,D,1587.92834473,1596.63806152
