,Result,Home_Elo,Away_Elo
67,D,1800.84924316,1776.41308594
68,D,1791.4239502,1641.66894531
69,W,1822.07043457,1889.07763672
70,W,1627.22021484,1598.65734863
71,W,1870.39453125,1663.08642578
72,W,1797.2668457,1798.60327148
73,L,1656.22473145,1656.44311523
74,D,1877.44470215,1718.50549316
75,W,1646.96203613,1621.6427002
76,D,1651.42089844,1833.70336914
77,L,1595.31201172,1638.82788086
78,W,1778.65905762,1638.18432617
79,D,1829.62316895,1786.13085938
80,D,1639.63171387,1830.96728516
81,D,1874.26965332,1586.08728027
82,W,1632.17443848,1723.21691895
83,L,1584.64819336,1654.60192871
84,W,1789.17553711,1646.05505371
85,W,1826.01733398,1654.09399414
86,D,1659.75280762,1646.45495605
87,W,1665.01513672,1612.40527344
88,W,1807.83422852,1793.49462891
89,D,1866.26525879,1773.66015625
90,L,1641.06994629,1829.00976562
91,D,1781.02270508,1641.19128418
92,W,1593.70471191,1643.25708008
93,L,1607.16845703,1866.65222168
94,D,1827.34191895,1794.1607666
95,W,1648.5168457,1573.64147949
96,L,1651.1015625,1862.19799805
97,W,1714.20019531,1670.2520752
98,L,1777.72753906,1820.30615234
99,W,1665.60876465,1657.69104004
100,L,1631.24304199,1600.4362793
101,W,1645.49816895,1633.48852539
102,W,1831.3651123,1721.02807617
103,D,1884.37390137,1604.07397461
104,D,1661.77929688,1673.81518555
105,D,1874.10961914,1812.56774902
106,W,1567.8996582,1768.48693848
107,L,1793.66308594,1641.58300781
108,W,1834.94641113,1652.6138916
109,L,1647.83984375,1765.88842773
110,L,1627.09484863,1876.87182617
111,D,1711.93310547,1638.67687988
112,D,1775.05126953,1870.91992188
113,D,1756.56408691,1841.29931641
114,L,1675.12756348,1620.9354248
115,W,1610.74389648,1579.8223877
116,W,1815.75756836,1660.46691895
117,W,1646.26098633,1780.50524902
118,L,1611.57592773,1840.46008301
119,W,1654.74084473,1651.89196777
120,L,1634.8815918,1875.05615234
121,W,1840.93408203,1808.88781738
122,D,1565.91113281,1664.72912598
123,D,1769.76989746,1604.07995605
124,W,1836.8614502,1617.63317871
125,W,1638.63378906,1620.11682129
126,W,1864.49853516,1628.3482666
127,D,1778.11987305,1653.56262207
128,W,1744.82983398,1704.95422363
129,L,1652.95239258,1660.69274902
130,W,1613.89135742,1750.58300781
131,L,1878.77758789,1846.79199219
132,W,1669.84057617,1631.16015625
133,W,1614.30529785,1764.17468262
134,W,1803.0300293,1644.85913086
135,W,1663.44445801,1643.80456543
136,L,1658.28771973,1867.52075195
137,W,1625.3260498,1840.18933105
138,D,1699.2010498,1773.39489746
139,W,1609.6751709,1567.19580078
140,W,1883.3416748,1676.18933105
141,W,1620.92285156,1635.13452148
142,D,1559.52575684,1629.85058594
143,W,1737.9309082,1854.52539062
144,W,1635.44116211,1622.82226562
145,W,1633.03173828,1697.73498535
146,W,1859.21838379,1670.32873535
147,D,1826.49230957,1647.96166992
148,W,1777.77929688,1813.92724609
149,W,1724.79382324,1613.45666504
150,W,1628.31677246,1751.34362793
151,W,1689.67504883,1886.82299805
152,L,1629.53540039,1785.01574707
153,W,1841.1126709,1641.09155273
154,L,1609.35424805,1820.41601562
155,D,1672.70800781,1728.89624023
156,L,1612.10803223,1861.85986328
157,W,1806.6907959,1559.84094238
158,W,1667.68725586,1646.15539551
159,W,1654.0378418,1627.74060059
160,L,1623.70239258,1865.65185547
161,W,1601.29260254,1637.92687988
