,Home_Elo,Away_Elo,Result
87,1792.35107422,1770.88232422,D
88,1705.75830078,1698.83154297,L
89,1680.0020752,1993.03588867,D
90,1752.68164062,1662.72888184,L
91,1969.2557373,1706.93945312,W
92,1589.14501953,1662.57763672,W
93,1817.45996094,1789.21838379,L
94,1878.91589355,1871.95007324,D
95,1770.61157227,1869.97351074,L
96,1819.21240234,1584.93432617,L
97,1749.50598145,1695.7722168,W
98,1698.61682129,1738.34924316,D
99,1892.29907227,1670.23352051,W
100,1966.70556641,1595.67956543,W
101,1751.85791016,1859.64489746,L
102,1985.58764648,1795.51257324,W
103,1649.79724121,1787.9407959,L
104,1864.92089844,1808.41418457,W
105,1595.09777832,1689.54101562,L
106,1683.33178711,1760.94519043,L
107,1662.37219238,1739.3536377,L
108,1733.90563965,1883.63244629,W
109,1857.39709473,1967.20983887,D
110,1704.06018066,1577.91564941,W
111,1784.9309082,1682.43151855,L
112,1796.85424805,1694.73840332,L
113,1698.40112305,1871.13952637,D
114,1589.88110352,1980.26416016,D
115,1792.07055664,1672.32214355,W
116,1763.63269043,1640.25109863,W
117,1964.96386719,1573.51916504,D
118,1773.47094727,1872.5489502,W
119,1785.37438965,1771.36047363,D
120,1597.640625,1664.5390625,D
121,1655.55664062,1708.45654297,W
122,1799.8536377,1744.98913574,L
123,1972.5045166,1867.26586914,W
124,1746.16918945,1702.2746582,D
125,1693.89135742,1706.21826172,D
126,1632.52331543,1859.64306641,L
127,1704.43713379,1977.1730957,L
128,1759.51171875,1784.04516602,W
129,1693.6451416,1598.62915039,D
130,1772.68969727,1956.57165527,L
131,1663.55053711,1628.87817383,D
132,1863.28820801,1670.36804199,W
133,1862.59741211,1785.33105469,L
134,1581.91149902,1693.25830078,L
135,1706.85131836,1783.2401123,W
136,1862.77978516,1744.00671387,W
137,1776.20861816,1870.24853516,W
138,1703.8215332,1696.8112793,W
139,1602.19494629,1768.33215332,D
140,1800.66589355,1869.20751953,D
141,1960.92919922,1690.0793457,W
142,1630.92272949,1767.34814453,L
143,1664.4486084,1716.18078613,W
144,1984.79907227,1571.34814453,D
145,1736.53796387,1661.50598145,D
146,1773.91064453,1847.26257324,D
147,1856.9453125,1715.73571777,D
148,1684.89709473,1801.5715332,D
149,1664.6706543,1789.51184082,L
150,1707.75341797,1625.36425781,W
151,1868.30187988,1774.90112305,W
152,1764.77709961,1733.37329102,D
153,1579.9699707,1672.87609863,L
154,1687.26013184,1976.17724609,D
155,1772.90673828,1735.35742188,L
156,1873.15600586,1720.49475098,W
157,1658.84899902,1770.046875,D
158,1687.10571289,1620.09265137,W
159,1846.27209473,1687.71728516,W
160,1565.12866211,1795.33349609,L
161,1852.1862793,1963.74841309,L
162,1693.43273926,1799.36279297,L
163,1762.79296875,1970.00476074,W
