,Result,Home_Elo,Away_Elo
259,W,1516.77648926,1743.92358398
260,W,1705.15637207,1665.1661377
261,D,1689.2142334,1766.64794922
262,D,1994.18701172,1641.87023926
263,L,1733.76171875,1862.36901855
264,W,1651.90686035,1632.64575195
265,L,1600.69226074,1705.22631836
266,L,1654.93920898,1523.70458984
267,W,1677.07434082,1680.53088379
268,W,1656.11999512,1740.46472168
269,D,1727.05456543,1715.61413574
270,L,1732.21472168,1724.67541504
271,D,1868.85388184,1689.29199219
272,L,1650.29296875,1727.27685547
273,D,1717.99328613,1590.55053711
274,W,1536.84545898,1664.36999512
275,L,1674.2442627,1985.76428223
276,W,1715.36816406,1683.36108398
277,W,1624.45776367,1641.79833984
278,W,1766.57019043,1660.09484863
279,W,1695.54980469,1722.84106445
280,W,1992.79272461,1553.05053711
281,W,1862.59606934,1770.45227051
282,D,1735.1796875,1637.68762207
283,L,1656.21289062,1667.21582031
284,D,1595.80932617,1714.69689941
285,L,1675.88818359,1712.734375
286,D,1628.56848145,1642.39013672
287,W,1648.16503906,1742.1932373
288,D,1713.40466309,1702.21142578
289,D,1642.25231934,1866.60205078
290,W,1644.01513672,1642.61242676
291,L,1728.47192383,1993.39697266
292,D,1660.34436035,1597.10168457
293,L,1552.44628906,1660.15063477
294,D,1730.01379395,1626.94348145
295,D,1680.81628418,1730.6151123
296,L,1716.17944336,1766.44628906
297,W,1996.95654297,1656.65283203
298,W,1862.46313477,1704.58251953
299,D,1731.23522949,1542.25280762
300,D,1633.77392578,1724.91235352
301,W,1704.54406738,1652.8536377
302,D,1600.79321289,1725.3762207
303,W,1631.58105469,1680.19616699
304,L,1670.34411621,1711.07202148
305,D,1778.04309082,1646.39123535
306,W,1987.21484375,1716.85852051
307,W,1627.42236328,1639.95751953
308,W,1641.29553223,1602.71728516
309,L,1633.92285156,1585.66882324
310,W,1712.14379883,1712.62963867
311,W,1753.43127441,1690.09106445
312,L,1669.27172852,1853.69262695
313,W,1713.30688477,1700.21289062
314,D,1617.11560059,1622.7947998
315,L,1692.64172363,1632.47070312
316,D,1712.95349121,1751.83947754
317,W,1860.8170166,1647.22705078
318,L,1622.9395752,1658.93945312
319,D,1631.70141602,1717.67016602
320,W,1593.57800293,1621.11730957
321,L,1683.82946777,1987.9119873
322,W,1595.26635742,1719.40966797
323,W,1702.15576172,1613.76281738
324,L,1648.66577148,1709.65771484
325,L,1717.07043457,1614.11328125
326,W,1632.30114746,1676.4465332
327,W,1614.27600098,1712.20019531
328,D,1606.26098633,1864.06628418
329,W,1752.59265137,1991.66455078
330,D,1667.76574707,1604.89208984
331,D,1643.9777832,1680.07702637
332,W,1709.78405762,1600.41931152
333,W,1601.36340332,1630.03625488
334,W,1969.10388184,1619.87438965
335,L,1619.37548828,1638.28027344
336,D,1715.28918457,1697.7557373
337,W,1587.81201172,1657.24194336
338,L,1673.85705566,1708.33886719
339,W,1692.54943848,1604.29833984
340,W,1845.46594238,1653.28881836
341,D,1747.57763672,1637.78015137
342,W,1700.02270508,1595.96850586
343,W,1647.54406738,1713.02233887
344,L,1716.8404541,1971.28356934
345,D,1649.08557129,1665.35546875
346,L,1647.33984375,1610.11181641
347,L,1619.96569824,1851.41491699
348,W,1642.30249023,1701.42236328
349,L,1617.69470215,1743.05517578
350,D,1595.42541504,1611.43408203
351,D,1977.42016602,1647.8392334
352,W,1858.15515137,1705.79248047
353,W,1611.44055176,1650.32116699
354,W,1704.83984375,1620.74963379
355,W,1749.30932617,1710.70385742
356,D,1590.19885254,1655.72644043
357,D,1666.60180664,1594.1998291
358,W,1693.40368652,1613.22546387
359,D,1612.65966797,1636.70202637
360,D,1682.07678223,1680.82641602
361,W,1677.78027344,1590.95019531
362,W,1595.32177734,1569.72558594
363,L,1634.77978516,1837.37353516
364,D,1584.3828125,1642.32299805
365,D,1635.1920166,1598.25134277
366,L,1604.95922852,1681.19702148
367,D,1611.23156738,1936.29589844
368,W,1577.05871582,1726.00415039
369,W,1563.86755371,1597.31481934
370,W,1929.89086914,1587.16540527
371,L,1841.91381836,1688.84143066
372,L,1586.43249512,1601.1796875
373,L,1617.63659668,1680.33276367
374,W,1601.01281738,1584.27856445
375,D,1715.89746094,1630.23937988
376,D,1682.57043457,1632.43041992
377,L,1642.42724609,1682.29797363
378,W,1689.71166992,1605.03735352
379,L,1691.86328125,1677.49645996
380,D,1608.50952148,1823.51794434
381,L,1632.20043945,1575.03625488
382,L,1576.18774414,1932.33239746
383,W,1706.76538086,1569.03833008
384,D,1579.36206055,1628.79553223
385,D,1582.59936523,1596.35766602
386,D,1633.43798828,1714.79553223
387,D,1598.38037109,1612.75427246
388,W,1696.56652832,1579.14404297
389,W,1934.35876465,1710.26647949
390,W,1586.29833984,1819.27319336
391,W,1597.59619141,1574.16137695
392,D,1696.36853027,1634.13769531
393,L,1714.0958252,1672.79321289
394,W,1565.53710938,1581.36083984
395,L,1629.0135498,1620.93847656
396,W,1614.85205078,1613.61657715
397,L,1795.8104248,1941.58605957
398,D,1688.38464355,1598.03918457
399,D,1638.09216309,1701.42626953
400,W,1568.93103027,1578.16162109
401,W,1701.37109375,1604.67468262
402,L,1570.49304199,1693.97314453
403,L,1582.58740234,1700.69873047
404,D,1638.28979492,1610.56420898
405,W,1568.70654297,1787.90759277
406,D,1701.27783203,1705.72424316
407,W,1949.4888916,1638.24060059
408,L,1613.00073242,1684.35241699
409,W,1602.07141113,1571.35717773
410,D,1711.92895508,1621.31555176
411,W,1635.85314941,1564.11315918
412,W,1700.35302734,1578.3861084
413,W,1607.1529541,1600.3215332
414,D,1592.75915527,1585.70788574
415,D,1774.84753418,1711.04064941
416,W,1700.23937988,1959.73974609
417,L,1630.47070312,1704.89550781
418,W,1640.90637207,1648.00549316
419,W,1734.47021484,1624.98095703
420,W,1562.2265625,1613.08215332
421,L,1583.63647461,1603.97131348
422,W,1577.96411133,1700.29870605
423,D,1570.01196289,1594.55175781
424,D,1712.42822266,1771.47375488
425,W,1946.88171387,1590.87194824
426,L,1605.29675293,1647.61071777
427,D,1714.41430664,1570.75134277
428,W,1683.71118164,1740.08361816
