,Result,Home_Elo,Away_Elo
232,L,1654.65429688,1846.19348145
233,W,1733.68164062,1608.86633301
234,L,1942.04370117,1988.08947754
235,W,1703.2833252,1548.66662598
236,D,1605.62670898,1750.47021484
237,L,1751.2722168,2025.05383301
238,L,1680.10766602,1649.14978027
239,D,1768.80957031,1704.24047852
240,W,1693.10241699,1595.05700684
241,W,1997.32531738,1607.11914062
242,D,1748.9777832,1708.02880859
243,W,1604.3626709,1664.390625
244,L,1543.92126465,1747.43212891
245,D,2028.8939209,1665.13769531
246,D,1627.21777344,1932.8079834
247,W,1851.69799805,1738.18530273
248,L,1660.42980957,1764.65197754
249,W,1998.90258789,1745.41992188
250,L,1708.39807129,2020.27368164
251,W,1591.26086426,1611.65820312
252,W,1756.58251953,1711.58666992
253,W,1734.69848633,1668.82763672
254,W,1927.24084473,1696.89855957
255,W,1673.75793457,1534.77087402
256,L,1605.54187012,1632.78479004
257,D,1657.09521484,1855.18481445
258,D,1643.07507324,1653.65771484
259,W,1715.48779297,1689.91516113
260,L,1616.20031738,1941.47753906
261,L,1675.3503418,1671.05432129
262,D,1863.10314941,1608.59619141
263,D,1704.53930664,1607.04943848
264,L,1755.20837402,1774.55883789
265,W,1650.90783691,2044.99938965
266,W,2039.20227051,1665.98425293
267,L,1783.2220459,1750.05322266
268,D,1540.49108887,1714.24035645
269,W,1682.31030273,1781.90478516
270,W,1679.39428711,1764.94702148
271,L,1763.51660156,2037.60009766
272,D,1709.35546875,1718.28100586
273,W,1662.7746582,1540.56433105
274,W,1940.72253418,1833.95666504
275,W,2027.6661377,1697.20666504
276,L,1663.42944336,1755.41784668
277,D,1613.77050781,1662.1986084
278,W,1609.57055664,1610.84887695
279,W,1720.44958496,1667.56677246
280,L,1663.29638672,1946.02368164
281,L,1535.77209473,1759.91552734
282,D,1756.80517578,1612.67260742
283,L,1773.42333984,1707.18688965
284,L,1602.56408691,2029.08996582
285,W,2041.2010498,1687.53613281
286,D,1828.65551758,1617.85522461
287,W,1695.78283691,1655.64624023
288,W,1763.2010498,1690.79174805
289,W,1764.56152344,1725.23925781
290,W,1951.16967773,1751.03173828
291,L,1662.77709961,1761.38037109
292,L,1685.8729248,1531.12609863
293,W,2031.64489746,1821.79504395
294,D,1646.79382324,1600.00915527
295,L,1618.44604492,2042.86425781
296,L,1624.71582031,1658.15039062
297,W,1719.2298584,1684.6784668
298,W,1704.63525391,1769.31433105
299,W,1769.13269043,1771.83044434
300,W,1717.97033691,1672.06225586
301,W,1667.49072266,2035.25793457
302,D,2045.12719727,1953.5369873
303,W,1818.18200684,1643.24438477
304,L,1761.79199219,1726.53942871
305,L,1603.55847168,1712.15771484
306,W,1677.36889648,1655.0246582
307,W,1544.93676758,1616.18322754
308,W,1748.66442871,1615.37536621
309,W,1761.04833984,1684.64074707
310,W,1957.42822266,1550.67211914
311,W,1994.41052246,1751.16162109
312,W,1637.52404785,1686.06286621
313,L,1608.81262207,2048.1003418
314,L,1591.13928223,1744.61279297
315,L,1606.38244629,1720.98596191
316,W,1643.6875,1740.16271973
317,D,1720.51147461,1819.83691406
318,W,1664.98132324,1775.84936523
319,W,1822.17651367,1583.18566895
320,L,1731.10717773,1963.07824707
321,W,1678.79223633,1723.67175293
322,D,1552.17907715,1610.13427734
323,W,1769.61169434,1601.76098633
324,L,1764.05505371,1658.24230957
325,D,1678.96154785,1676.71875
326,L,2059.29541016,1993.50488281
327,W,1752.20617676,1650.29455566
328,L,1731.10766602,1772.22729492
329,L,1967.69482422,1772.38220215
330,L,1580.66101074,1688.58996582
331,D,1610.93054199,1726.49072266
332,W,2005.12475586,1551.3828125
333,L,1646.51281738,2047.67553711
334,W,1598.99047852,1676.48034668
335,L,1713.87390137,1755.98779297
336,D,1679.20007324,1722.02124023
337,W,1781.3137207,1670.8581543
338,W,1824.70117188,1751.43920898
339,W,1787.23376465,1611.86877441
340,L,1725.55249023,2006.34790039
341,L,1662.68200684,1952.84326172
342,W,2051.17553711,1704.89453125
343,W,1764.96728516,1570.13049316
344,L,1747.11291504,1785.06054688
345,W,1723.12219238,1612.78881836
346,D,1550.15966797,1643.01281738
347,L,1667.11120605,1678.09924316
348,W,1699.12036133,1829.02758789
349,D,1813.99365234,1765.72070312
350,W,1948.46020508,1726.8659668
351,W,2010.56164551,1789.39770508
352,L,1566.17529297,2060.86962891
353,W,1606.50292969,1653.50256348
354,W,1693.69824219,1799.22497559
355,L,1641.06030273,1718.13684082
356,W,1710.95251465,1724.32202148
357,W,1702.359375,1548.91040039
358,W,1605.84313965,1648.3104248
359,L,1726.15222168,1707.29614258
360,W,1543.7911377,1564.2097168
361,W,1702.53369141,1712.80981445
362,D,1790.20690918,1619.98449707
363,L,1724.59301758,1613.46948242
364,L,1646.35339355,2014.09448242
365,D,1633.98657227,1951.49804688
366,W,2061.70532227,1810.4498291
367,D,1769.08203125,1721.97192383
368,D,1785.68237305,1632.86230469
369,L,1703.89318848,2064.55102539
370,L,1557.76538086,1715.48120117
371,W,1638.74975586,1642.81347656
372,D,1626.18945312,1711.45031738
373,W,1807.60424805,1550.23547363
374,D,1626.11987305,1639.88867188
375,W,1945.5958252,1784.00195312
376,W,2017.63439941,1711.94262695
377,D,1700.15686035,1765.5291748
378,L,1725.52478027,2068.28735352
379,L,1717.96716309,1779.79504395
380,W,1632.55749512,1717.56518555
381,W,1712.1217041,1638.68408203
382,L,1705.89831543,1772.27050781
383,D,1617.56005859,1955.94335938
384,D,1822.45739746,1727.71020508
385,D,1792.93395996,1655.29748535
386,W,2025.59448242,1648.03759766
387,L,1655.36193848,2086.96435547
388,W,1659.49084473,1798.12341309
389,L,1728.2713623,1716.46533203
390,W,1646.83666992,1697.40686035
391,W,1780.55456543,1788.32019043
392,L,1709.20715332,2026.58789062
393,W,1623.6619873,1717.61193848
