,Result,Home_Elo,Away_Elo
94,W,1686.10754395,1559.66210938
95,W,1790.05725098,1550.91357422
96,L,1679.82824707,1772.34460449
97,L,1501.71936035,1591.51159668
98,L,1543.90478516,1542.95849609
99,L,1559.41992188,1699.35205078
100,W,1918.7130127,1792.76086426
101,W,1690.31335449,1494.13037109
102,W,1599.10070801,1635.04858398
103,W,1453.57763672,1555.54003906
104,D,1548.20996094,1782.88220215
105,W,1691.96533203,1669.29064941
106,W,1560.10253906,1658.06225586
107,W,1553.80419922,1529.82446289
108,D,1557.03881836,1641.2220459
109,D,1786.99536133,1695.50830078
110,W,1639.09240723,1557.23547363
111,W,1783.40393066,1550.94445801
112,L,1571.40002441,1912.93566895
113,D,1707.24645996,1566.79345703
114,D,1620.93005371,1555.24279785
115,W,1643.98266602,1466.55004883
116,L,1522.4675293,1690.74633789
117,L,1657.15588379,1609.2935791
118,L,1489.77172852,1550.53173828
119,W,1525.28979492,1549.0423584
120,W,1916.0480957,1472.7947998
121,L,1559.16162109,1782.42675781
122,D,1696.45141602,1648.6126709
123,W,1628.88916016,1786.85717773
124,W,1547.49121094,1516.76245117
125,L,1461.91992188,1647.28552246
126,L,1567.50866699,1701.67138672
127,W,1700.07702637,1617.01123047
128,W,1572.36853027,1637.56030273
129,L,1549.29772949,1688.18151855
130,W,1649.97790527,1520.46777344
131,W,1776.28979492,1466.93005371
132,L,1550.50842285,1634.22619629
133,W,1539.13745117,1550.01501465
134,D,1449.58361816,1575.24523926
135,W,1606.2121582,1924.0168457
136,L,1504.10131836,1701.23205566
137,W,1639.08642578,1694.98400879
138,D,1777.62145996,1622.32250977
139,W,1771.74743652,1649.53601074
140,W,1904.16064453,1645.57263184
141,W,1699.55224609,1450.95996094
142,W,1684.53442383,1499.13818359
143,L,1706.19506836,1777.50354004
144,W,1573.86889648,1655.08300781
145,W,1628.1965332,1537.92700195
146,D,1465.71630859,1545.35302734
147,D,1519.80834961,1626.06835938
148,W,1543.79943848,1539.16186523
149,W,1449.76843262,1466.35107422
150,L,1585.72009277,1695.42626953
151,L,1643.72314453,1550.48608398
152,D,1533.68200684,1531.3416748
153,L,1545.92504883,1789.81604004
154,W,1650.13659668,1628.07495117
155,L,1497.25244141,1509.86083984
156,L,1644.43859863,1908.92443848
157,W,1784.07250977,1701.95056152
158,W,1693.14001465,1618.3203125
159,W,1620.29187012,1697.50305176
160,D,1697.7565918,1626.01367188
161,W,1533.67028809,1537.02038574
162,W,1914.21716309,1788.26635742
163,W,1509.86083984,1578.49938965
164,L,1628.2421875,1486.32592773
165,W,1702.64697266,1689.55273438
166,W,1798.72070312,1639.14599609
167,L,1613.95727539,1657.9197998
168,L,1459.9362793,1531.35339355
169,W,1568.19567871,1456.18322754
170,W,1630.07348633,1542.3717041
171,W,1666.76513672,1710.65014648
172,W,1784.80566406,1514.01928711
173,W,1528.31896973,1605.11193848
174,D,1681.54956055,1802.62658691
175,D,1499.76000977,1445.36889648
176,D,1572.96801758,1573.46948242
177,W,1635.23999023,1614.80810547
178,W,1538.11230469,1496.07702637
179,W,1801.44628906,1570.72229004
180,W,1693.69677734,1536.12121582
181,L,1523.10827637,1634.33288574
182,L,1609.34777832,1788.64013672
183,W,1917.67797852,1545.92077637
184,W,1698.59667969,1450.90942383
185,D,1597.30969238,1640.70031738
186,L,1575.71520996,1678.81860352
187,L,1449.20214844,1544.36523438
188,W,1686.39990234,1523.10827637
189,W,1533.39819336,1603.78979492
190,W,1682.7298584,1919.23339844
191,W,1700.30395508,1651.15087891
192,W,1803.28308105,1449.05187988
193,D,1568.88549805,1543.15722656
194,W,1596.06420898,1491.03222656
195,L,1568.13391113,1794.19824219
196,D,1641.94580078,1696.41967773
197,L,1697.35510254,1804.5390625
198,L,1523.10827637,1694.66711426
199,W,1798.72485352,1546.5057373
200,W,1646.33325195,1565.8067627
201,W,1552.33227539,1641.01037598
202,W,1546.23596191,1563.60717773
203,D,1590.68225098,1441.23510742
204,W,1907.29626465,1705.1217041
205,L,1484.6072998,1692.04382324
206,L,1447.79589844,1602.48913574
207,W,1697.04150391,1439.02832031
208,L,1701.98583984,1509.82336426
209,D,1544.92248535,1563.87756348
210,W,1447.1652832,1552.61853027
211,D,1707.74291992,1584.75219727
212,D,1811.97546387,1479.60949707
213,W,1561.66137695,1800.30810547
214,L,1611.25671387,1910.43212891
215,D,1629.46508789,1650.4786377
216,W,1557.22460938,1689.91870117
217,L,1436.30847168,1702.328125
218,L,1565.82910156,1803.61206055
219,L,1680.65734863,1573.50256348
220,W,1652.37316895,1542.97094727
221,D,1510.63586426,1566.48596191
222,D,1537.52685547,1627.57055664
223,L,1590.16699219,1606.58032227
224,W,1915.10852051,1699.76135254
225,W,1487.97302246,1462.25683594
226,L,1432.55004883,1688.5402832
227,W,1788.46691895,1706.08654785
228,L,1554.76611328,1667.93371582
229,L,1456.94726562,1917.19128418
230,W,1814.67504883,1580.41357422
231,W,1698.02416992,1569.47387695
232,L,1537.96166992,1919.13122559
233,L,1455.00732422,1796.52929688
