,0
0,1.1267915964126587
1,1.1249289512634277
2,1.1199136972427368
3,1.1186493635177612
4,1.1173510551452637
5,1.1163891553878784
6,1.1102641820907593
7,1.1104412078857422
8,1.1080682277679443
9,1.1087892055511475
10,1.1083402633666992
11,1.1053087711334229
12,1.1029837131500244
13,1.1034549474716187
14,1.0988883972167969
15,1.1001566648483276
16,1.0959395170211792
17,1.0974171161651611
18,1.0956003665924072
19,1.0938152074813843
20,1.0929754972457886
21,1.092971920967102
22,1.0903126001358032
23,1.0884021520614624
24,1.0905122756958008
25,1.0889166593551636
26,1.088848352432251
27,1.0843782424926758
28,1.0845530033111572
29,1.08229660987854
30,1.0816371440887451
31,1.0813018083572388
32,1.0824135541915894
33,1.0844165086746216
34,1.0792161226272583
35,1.0815800428390503
36,1.0803782939910889
37,1.0793462991714478
38,1.078619360923767
39,1.077684998512268
40,1.0785506963729858
41,1.0767173767089844
42,1.0763516426086426
43,1.0767405033111572
44,1.0723708868026733
45,1.0744503736495972
46,1.0742130279541016
47,1.0740660429000854
48,1.0740225315093994
49,1.073228359222412
50,1.0701205730438232
51,1.0739697217941284
52,1.0725946426391602
53,1.0728764533996582
54,1.070597767829895
55,1.0699191093444824
56,1.0724443197250366
57,1.0698251724243164
58,1.0713472366333008
59,1.0715645551681519
60,1.070783019065857
61,1.0709947347640991
62,1.0682505369186401
63,1.0694488286972046
64,1.0715522766113281
65,1.0690834522247314
66,1.0692228078842163
67,1.0711833238601685
68,1.069298505783081
69,1.0687077045440674
70,1.0670084953308105
71,1.0702283382415771
72,1.0699756145477295
73,1.0690312385559082
74,1.068934679031372
75,1.0701675415039062
76,1.0673296451568604
77,1.0692336559295654
78,1.0680677890777588
79,1.0683754682540894
80,1.0669485330581665
81,1.0685521364212036
82,1.0687334537506104
83,1.0668580532073975
84,1.0668749809265137
85,1.0684123039245605
86,1.0686023235321045
87,1.0654218196868896
88,1.0677987337112427
89,1.0655646324157715
90,1.0662413835525513
91,1.0703305006027222
92,1.0650887489318848
93,1.0658236742019653
94,1.0663925409317017
95,1.0685722827911377
96,1.0672792196273804
97,1.0664364099502563
98,1.0670758485794067
99,1.067827582359314
100,1.0655746459960938
101,1.0665714740753174
102,1.066550612449646
103,1.070554494857788
104,1.0686606168746948
105,1.066023826599121
106,1.0652966499328613
107,1.0668996572494507
108,1.0673803091049194
109,1.0670377016067505
110,1.0640900135040283
111,1.0661208629608154
112,1.0667413473129272
113,1.0644176006317139
114,1.0649622678756714
115,1.064412236213684
116,1.0653325319290161
117,1.0657925605773926
118,1.066568374633789
119,1.0635877847671509
120,1.0653414726257324
121,1.064919114112854
122,1.0665853023529053
123,1.0658210515975952
124,1.0649069547653198
125,1.0641690492630005
126,1.0655975341796875
127,1.0660309791564941
128,1.0660645961761475
129,1.067750334739685
130,1.0652801990509033
131,1.0634719133377075
132,1.0652716159820557
133,1.06426203250885
134,1.0630395412445068
135,1.0657787322998047
136,1.0658907890319824
137,1.0630892515182495
138,1.0655314922332764
139,1.0640209913253784
140,1.0658358335494995
141,1.0655707120895386
142,1.0661067962646484
143,1.066617488861084
144,1.0638757944107056
145,1.0648319721221924
146,1.0653114318847656
147,1.0659141540527344
148,1.0645688772201538
149,1.0654758214950562
150,1.0656332969665527
151,1.0666627883911133
152,1.0651060342788696
153,1.0648536682128906
154,1.0646203756332397
155,1.0656349658966064
156,1.0650384426116943
157,1.064153790473938
158,1.0627872943878174
159,1.0682411193847656
160,1.0642011165618896
161,1.0617300271987915
162,1.064713478088379
163,1.065179705619812
164,1.0645557641983032
165,1.0637378692626953
166,1.064643144607544
167,1.0634007453918457
168,1.064845323562622
169,1.0659071207046509
170,1.0628687143325806
171,1.06371009349823
172,1.0626002550125122
173,1.0629841089248657
174,1.0662684440612793
175,1.0634945631027222
176,1.062154769897461
177,1.064416766166687
178,1.0662052631378174
179,1.0627204179763794
180,1.0633459091186523
181,1.0636188983917236
182,1.0633550882339478
183,1.062149167060852
184,1.0639647245407104
185,1.0628894567489624
186,1.0655850172042847
187,1.064286231994629
188,1.062563180923462
189,1.0638900995254517
190,1.0648032426834106
191,1.0627564191818237
192,1.0613877773284912
193,1.0642472505569458
194,1.0645804405212402
195,1.0625282526016235
196,1.0635693073272705
197,1.060978651046753
198,1.0622451305389404
199,1.0639716386795044
200,1.0643564462661743
201,1.062148094177246
202,1.0627079010009766
203,1.0651836395263672
204,1.060736894607544
205,1.0628494024276733
206,1.0642499923706055
207,1.0617613792419434
208,1.0617648363113403
209,1.0640497207641602
210,1.0634560585021973
211,1.0627086162567139
212,1.0628019571304321
213,1.0630176067352295
214,1.0640619993209839
215,1.0627018213272095
216,1.063354253768921
217,1.0611193180084229
218,1.0637259483337402
219,1.0642119646072388
220,1.0617917776107788
221,1.0648118257522583
222,1.063926100730896
223,1.0621699094772339
224,1.0646214485168457
225,1.0636963844299316
226,1.0632874965667725
227,1.0638000965118408
228,1.0636210441589355
229,1.062674641609192
230,1.0625536441802979
231,1.0608007907867432
232,1.0631029605865479
233,1.0628832578659058
234,1.0622751712799072
235,1.0607123374938965
236,1.0634641647338867
237,1.0626181364059448
238,1.0621743202209473
239,1.0618391036987305
240,1.0603469610214233
241,1.0622116327285767
242,1.061867356300354
243,1.0623137950897217
244,1.0620715618133545
245,1.061328411102295
246,1.0635868310928345
247,1.062652349472046
248,1.0635007619857788
249,1.0621461868286133
250,1.062976598739624
251,1.0608898401260376
252,1.061612606048584
253,1.063873529434204
254,1.0638169050216675
255,1.0599136352539062
256,1.0621528625488281
257,1.0621895790100098
258,1.0614204406738281
259,1.0612069368362427
260,1.0632153749465942
261,1.0617109537124634
262,1.0614229440689087
263,1.0605850219726562
264,1.063475489616394
265,1.0615123510360718
266,1.06055748462677
267,1.061347484588623
268,1.06293785572052
269,1.0608735084533691
270,1.0618700981140137
271,1.0618127584457397
272,1.0625578165054321
273,1.0626039505004883
274,1.0623388290405273
275,1.0620522499084473
276,1.0617315769195557
277,1.0621107816696167
278,1.0627036094665527
279,1.0625962018966675
280,1.0634560585021973
281,1.0607998371124268
282,1.0609359741210938
283,1.0623700618743896
284,1.0619643926620483
285,1.061523199081421
286,1.06134033203125
287,1.0619343519210815
288,1.062924861907959
289,1.0610976219177246
290,1.0612683296203613
291,1.060945987701416
292,1.0612270832061768
293,1.0627411603927612
294,1.0606392621994019
